Correlation,FDR,Feature 1,Feature 2
continuous,continuous,string,string
,,meta,meta
0.503,6.40852682783909e-76,209395_at,213338_at
0.503,6.40852682783909e-76,208306_x_at,209395_at
0.503,6.830043263363856e-76,207551_s_at,209395_at
0.502,7.648950715606737e-76,209395_at,213060_s_at
0.502,8.079465459671037e-76,209395_at,213275_x_at
0.502,9.27436554861469e-76,207375_s_at,209395_at
0.502,1.0220863531485665e-75,208438_s_at,209395_at
0.502,1.0503901273401983e-75,209395_at,217456_x_at
0.502,1.1036368583039052e-75,208729_x_at,209395_at
0.502,1.146981264131356e-75,200887_s_at,209395_at
0.502,1.200422623072376e-75,209395_at,218678_at
0.502,1.2802375193887513e-75,203693_s_at,209395_at
0.502,1.2999836026149538e-75,201858_s_at,209395_at
0.502,1.4200880272344904e-75,208398_s_at,209395_at
0.502,1.4277615876769845e-75,202341_s_at,209395_at
0.502,1.4277615876769845e-75,209395_at,209511_at
0.502,1.5100534018897282e-75,209395_at,212846_at
0.501,1.607989248582609e-75,200660_at,209395_at
0.501,1.7201810781320567e-75,209291_at,209395_at
0.501,1.8203175321200685e-75,209395_at,214104_at
0.501,1.8722450007714818e-75,209395_at,211796_s_at
0.501,2.0408117267456242e-75,203233_at,209395_at
0.501,2.0414706989820456e-75,209395_at,211964_at
0.501,2.0446497864855658e-75,200840_at,209395_at
0.501,3.342830388607116e-75,204268_at,209395_at
0.5,3.4281769815667387e-75,208146_s_at,209395_at
0.5,3.5935062154976413e-75,200921_s_at,209395_at
0.5,3.753545657496569e-75,202762_at,209395_at
0.5,4.1999935923685226e-75,209395_at,212397_at
0.5,4.2972231803865013e-75,209395_at,217728_at
0.5,5.709448532944318e-75,206571_s_at,209395_at
0.5,5.900716564814766e-75,209337_at,209395_at
0.5,5.914092958073461e-75,202483_s_at,209395_at
0.5,5.948649345826497e-75,203936_s_at,209395_at
0.5,6.094130699851624e-75,205173_x_at,209395_at
0.5,6.099873990611412e-75,201938_at,209395_at
0.499,7.656844992149467e-75,209395_at,213097_s_at
0.499,7.71765834556516e-75,203921_at,209395_at
0.499,8.246146622476729e-75,209395_at,218684_at
0.499,8.764741347369274e-75,202185_at,209395_at
0.499,1.0424952587140504e-74,204588_s_at,209395_at
0.499,1.059610299263184e-74,209373_at,209395_at
0.499,1.0687766333504672e-74,209395_at,209644_x_at
0.499,1.182253788352244e-74,209395_at,214953_s_at
0.499,1.2828668126957444e-74,204872_at,209395_at
0.498,1.6910217455114204e-74,209395_at,212262_at
0.498,1.6910217455114204e-74,209395_at,212117_at
0.498,1.711866817129174e-74,209395_at,216336_x_at
0.498,1.8012301303192403e-74,209395_at,210029_at
0.498,2.1864823379358516e-74,209395_at,212120_at
0.498,2.351647271944927e-74,209395_at,213513_x_at
0.498,2.7236180675649823e-74,209395_at,218336_at
0.498,2.8530105158986736e-74,202413_s_at,209395_at
0.498,2.8729482179885174e-74,209395_at,214431_at
0.498,3.103882368907263e-74,209395_at,221203_s_at
0.498,3.264007009094992e-74,200957_s_at,209395_at
0.497,3.50443011300253e-74,209395_at,32094_at
0.497,3.5353959424748104e-74,209395_at,214669_x_at
0.497,3.575164558564559e-74,209395_at,217022_s_at
0.497,3.601292966096856e-74,208103_s_at,209395_at
0.497,3.758973759581036e-74,209395_at,211056_s_at
0.497,3.820246345920257e-74,200896_x_at,209395_at
0.497,3.901779176156348e-74,203915_at,209395_at
0.497,4.44940167980467e-74,204675_at,209395_at
0.497,4.623623937303832e-74,201850_at,209395_at
0.497,4.860588965069332e-74,209395_at,210776_x_at
0.497,5.427367678657971e-74,201976_s_at,209395_at
0.497,6.101374717483054e-74,209395_at,216484_x_at
0.497,6.39785308933179e-74,209395_at,217733_s_at
0.497,6.410251418844251e-74,209140_x_at,209395_at
0.497,6.999208894081369e-74,201506_at,209395_at
0.497,7.322183865009091e-74,209395_at,209770_at
0.497,7.371853799582775e-74,202759_s_at,209395_at
0.496,7.485737135436973e-74,209395_at,210095_s_at
0.496,7.519805989902263e-74,209395_at,217795_s_at
0.496,7.663521220592982e-74,209395_at,211582_x_at
0.496,7.847583596815381e-74,204897_at,209395_at
0.496,8.026538001660587e-74,209395_at,218440_at
0.496,8.104713510386018e-74,209395_at,219065_s_at
0.496,8.587178859567804e-74,201995_at,209395_at
0.496,8.994812940748185e-74,209395_at,215313_x_at
0.496,9.018588077734441e-74,202087_s_at,209395_at
0.496,9.74234446601633e-74,204882_at,209395_at
0.496,9.80921967213889e-74,209395_at,213137_s_at
0.496,1.002548146351405e-73,209395_at,212070_at
0.496,1.1254379657184697e-73,205666_at,209395_at
0.496,1.4549184253609023e-73,201983_s_at,209395_at
0.496,1.4549184253609023e-73,204023_at,209395_at
0.496,1.5278772153607582e-73,205992_s_at,209395_at
0.496,1.554790993761936e-73,209395_at,212371_at
0.495,1.6642873418553015e-73,208627_s_at,209395_at
0.495,1.6648940040711205e-73,201064_s_at,209395_at
0.495,1.6991104370067392e-73,209395_at,212320_at
0.495,1.8186307462251266e-73,203021_at,209395_at
0.495,1.862677728055793e-73,202679_at,209395_at
0.495,1.8627835768932317e-73,204083_s_at,209395_at
0.495,2.0356608050156475e-73,209395_at,211795_s_at
0.495,2.1523568110352016e-73,201397_at,209395_at
0.495,2.396160452951622e-73,209351_at,209395_at
